State,ActName,Category,Promulgated,Prom_Decade,Enacted,Enact_Decade
Alabama,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2010,
Alaska,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2008,
Arizona,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2010,
Arkansas,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
Colorado,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2008,
Connecticut,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2012,
Delaware,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2008,
District of Columbia,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2009,
Hawaii,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2012,
Idaho,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
Illinois,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2009,
Indiana,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
Iowa,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2010,
Kentucky,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
Maine,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2012,
Maryland,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2010,
Minnesota,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2009,
Missouri,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
Montana,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2009,
Nebraska,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
Nevada,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2009,
New Jersey,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2012,
New Mexico,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
North Dakota,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2009,
Ohio,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2013,
Oklahoma,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2010,
Oregon,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2009,
Pennsylvania,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2012,
Puerto Rico,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2013,
South Carolina,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2010,
South Dakota,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
Tennessee,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2010,
Utah,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2008,
Vermont,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
Virginia,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2011,
Washington,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2009,
West Virginia,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2009,
Wyoming,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,,2013,
Alabama,Anatomical Gift,Anatomical Gift,1968,,1969,
Alaska,Anatomical Gift,Anatomical Gift,1968,,1970,
Arizona,Anatomical Gift,Anatomical Gift,1968,,1970,
Arkansas,Anatomical Gift,Anatomical Gift,1968,,1969,
California,Anatomical Gift,Anatomical Gift,1968,,1968,
Colorado,Anatomical Gift,Anatomical Gift,1968,,1969,
Connecticut,Anatomical Gift,Anatomical Gift,1968,,1969,
Delaware,Anatomical Gift,Anatomical Gift,1968,,1970,
District of Columbia,Anatomical Gift,Anatomical Gift,1968,,1970,
Florida,Anatomical Gift,Anatomical Gift,1968,,1969,
Georgia,Anatomical Gift,Anatomical Gift,1968,,1969,
Hawaii,Anatomical Gift,Anatomical Gift,1968,,1969,
Idaho,Anatomical Gift,Anatomical Gift,1968,,1969,
Illinois,Anatomical Gift,Anatomical Gift,1968,,1969,
Indiana,Anatomical Gift,Anatomical Gift,1968,,1969,
Iowa,Anatomical Gift,Anatomical Gift,1968,,1969,
Kansas,Anatomical Gift,Anatomical Gift,1968,,1969,
Kentucky,Anatomical Gift,Anatomical Gift,1968,,1970,
Louisiana,Anatomical Gift,Anatomical Gift,1968,,1968,
Maine,Anatomical Gift,Anatomical Gift,1968,,1969,
Maryland,Anatomical Gift,Anatomical Gift,1968,,1969,
Massachusetts,Anatomical Gift,Anatomical Gift,1968,,1971,
Michigan,Anatomical Gift,Anatomical Gift,1968,,1969,
Minnesota,Anatomical Gift,Anatomical Gift,1968,,1969,
Mississippi,Anatomical Gift,Anatomical Gift,1968,,1970,
Missouri,Anatomical Gift,Anatomical Gift,1968,,1969,
Montana,Anatomical Gift,Anatomical Gift,1968,,1969,
Nebraska,Anatomical Gift,Anatomical Gift,1968,,1971,
Nevada,Anatomical Gift,Anatomical Gift,1968,,1969,
New Hampshire,Anatomical Gift,Anatomical Gift,1968,,1970,
New Jersey,Anatomical Gift,Anatomical Gift,1968,,1969,
New Mexico,Anatomical Gift,Anatomical Gift,1968,,1969,
New York,Anatomical Gift,Anatomical Gift,1968,,1970,
North Carolina,Anatomical Gift,Anatomical Gift,1968,,1969,
North Dakota,Anatomical Gift,Anatomical Gift,1968,,1969,
Ohio,Anatomical Gift,Anatomical Gift,1968,,1969,
Oklahoma,Anatomical Gift,Anatomical Gift,1968,,1969,
Oregon,Anatomical Gift,Anatomical Gift,1968,,1969,
Pennsylvania,Anatomical Gift,Anatomical Gift,1968,,1970,
Rhode Island,Anatomical Gift,Anatomical Gift,1968,,1969,
South Carolina,Anatomical Gift,Anatomical Gift,1968,,1969,
South Dakota,Anatomical Gift,Anatomical Gift,1968,,1969,
Tennessee,Anatomical Gift,Anatomical Gift,1968,,1969,
Texas,Anatomical Gift,Anatomical Gift,1968,,1969,
U.S. Virgin Islands,Anatomical Gift,Anatomical Gift,1968,,1984,
Utah,Anatomical Gift,Anatomical Gift,1968,,1969,
Vermont,Anatomical Gift,Anatomical Gift,1968,,1969,
Virginia,Anatomical Gift,Anatomical Gift,1968,,1970,
Washington,Anatomical Gift,Anatomical Gift,1968,,1969,
West Virginia,Anatomical Gift,Anatomical Gift,1968,,1970,
Wisconsin,Anatomical Gift,Anatomical Gift,1968,,1969,
Wyoming,Anatomical Gift,Anatomical Gift,1968,,1969,
Alabama,Anatomical Gift,Anatomical Gift,1987,,2003,
Arizona,Anatomical Gift,Anatomical Gift,1987,,1996,
Arkansas,Anatomical Gift,Anatomical Gift,1987,,1989,
California,Anatomical Gift,Anatomical Gift,1987,,1989,
Connecticut,Anatomical Gift,Anatomical Gift,1987,,1988,
Hawaii,Anatomical Gift,Anatomical Gift,1987,,1988,
Idaho,Anatomical Gift,Anatomical Gift,1987,,1989,
Indiana,Anatomical Gift,Anatomical Gift,1987,,1995,
Iowa,Anatomical Gift,Anatomical Gift,1987,,1995,
Minnesota,Anatomical Gift,Anatomical Gift,1987,,1991,
Montana,Anatomical Gift,Anatomical Gift,1987,,1989,
Nevada,Anatomical Gift,Anatomical Gift,1987,,1989,
New Hampshire,Anatomical Gift,Anatomical Gift,1987,,1997,
New Mexico,Anatomical Gift,Anatomical Gift,1987,,1995,
North Dakota,Anatomical Gift,Anatomical Gift,1987,,1989,
Oregon,Anatomical Gift,Anatomical Gift,1987,,1995,
Rhode Island,Anatomical Gift,Anatomical Gift,1987,,1989,
Tennessee,Anatomical Gift,Anatomical Gift,1987,,2003,
U.S. Virgin Islands,Anatomical Gift,Anatomical Gift,1987,,2000,
Utah,Anatomical Gift,Anatomical Gift,1987,,1990,
Vermont,Anatomical Gift,Anatomical Gift,1987,,1991,
Virginia,Anatomical Gift,Anatomical Gift,1987,,1990,
Washington,Anatomical Gift,Anatomical Gift,1987,,1993,
Wisconsin,Anatomical Gift,Anatomical Gift,1987,,1990,
Alabama,Anatomical Gift,Anatomical Gift,2006,,2008,
Alaska,Anatomical Gift,Anatomical Gift,2006,,2008,
Arizona,Anatomical Gift,Anatomical Gift,2006,,2007,
Arkansas,Anatomical Gift,Anatomical Gift,2006,,2007,
California,Anatomical Gift,Anatomical Gift,2006,,2008,
Colorado,Anatomical Gift,Anatomical Gift,2006,,2007,
Connecticut,Anatomical Gift,Anatomical Gift,2006,,2010,
District of Columbia,Anatomical Gift,Anatomical Gift,2006,,2008,
Georgia,Anatomical Gift,Anatomical Gift,2006,,2008,
Hawaii,Anatomical Gift,Anatomical Gift,2006,,2008,
Idaho,Anatomical Gift,Anatomical Gift,2006,,2007,
Illinois,Anatomical Gift,Anatomical Gift,2006,,2013,
Indiana,Anatomical Gift,Anatomical Gift,2006,,2007,
Iowa,Anatomical Gift,Anatomical Gift,2006,,2007,
Kansas,Anatomical Gift,Anatomical Gift,2006,,2007,
Kentucky,Anatomical Gift,Anatomical Gift,2006,,2010,
Louisiana,Anatomical Gift,Anatomical Gift,2006,,2010,
Maine,Anatomical Gift,Anatomical Gift,2006,,2008,
Maryland,Anatomical Gift,Anatomical Gift,2006,,2011,
Massachusetts,Anatomical Gift,Anatomical Gift,2006,,2012,
Michigan,Anatomical Gift,Anatomical Gift,2006,,2008,
Minnesota,Anatomical Gift,Anatomical Gift,2006,,2007,
Mississippi,Anatomical Gift,Anatomical Gift,2006,,2008,
Missouri,Anatomical Gift,Anatomical Gift,2006,,2008,
Montana,Anatomical Gift,Anatomical Gift,2006,,2007,
Nebraska,Anatomical Gift,Anatomical Gift,2006,,2010,
Nevada,Anatomical Gift,Anatomical Gift,2006,,2007,
New Hampshire,Anatomical Gift,Anatomical Gift,2006,,2010,
New Jersey,Anatomical Gift,Anatomical Gift,2006,,2008,
New Mexico,Anatomical Gift,Anatomical Gift,2006,,2007,
North Carolina,Anatomical Gift,Anatomical Gift,2006,,2007,
