State,ActName,Category,Promulgated,Enacted
Alabama,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2010
Alabama,Anatomical Gift,Anatomical Gift,5961,5980
Alabama,Athlete Agents,Uncategorized,2000,2001
Alabama,Child Abduction Prevention,Children,2006,2010
Alabama,Child Custody Jurisdiction and Enforcement,Children,1997,1999
Alabama,Collaborative Law,Uncategorized,2010,2013
Alabama,Conservation Easement,Real Estate,1981,1997
Alabama,Controlled Substances,Uncategorized,1970,1971
Alabama,Declaratory Judgments,Civil Procedure,1922,1935
Alabama,Determination of Death,Death/Taxes,1980,2000
Alabama,Disclaimer of Property Interests,Uncategorized,1973,1981
Alabama,Electronic Transactions,Commercial Law,1999,2001
Alabama,Enforcement of Foreign Judgments,Civil Procedure,1964,1989
Alabama,Environmental Covenants,Real Estate,2003,2007
Alabama,Estate Tax Apportionment,Death/Taxes,2003,2007
Alabama,Federal Lien Registration,Civil Procedure,1978,1989
Alabama,Foreign Country Money Judgments Recognition,Civil Procedure,2005,2012
Alabama,Fraudulent Transfer,Uncategorized,1984,1989
Alabama,Guardianship and Protective Proceedings,Guardians,1982,1989
Alabama,Health Care Decisions,Guardians,1993,1997
Alabama,Interstate Depositions and Discovery,Civil Procedure,2007,2012
Alabama,Interstate Enforcement of Domestic Violence Protection Orders,Uncategorized,2000,2003
Alabama,Interstate Family Support,Uncategorized,1992,1997
Alabama,Limited Liability Company,Commercial Law,1995,1998
Alabama,Limited Partnership,Commercial Law,5962,5989
Alabama,Multiple Person Accounts,Uncategorized,1989,1997
Alabama,Parentage,Uncategorized,3973,3992
Alabama,Partnership,Commercial Law,3990,3994
Alabama,Power of Attorney,Uncategorized,2006,2011
Alabama,Principal and Income,Uncategorized,4005,4012
Alabama,Prudent Investor,Uncategorized,1994,2006
Alabama,Prudent Management of Institutional Funds,Uncategorized,2006,2008
Alabama,Real Property Electronic Recording,Real Estate,2004,2009
Alabama,Residential Landlord and Tenant,Real Estate,1972,2006
Alabama,Securities,Commercial Law,1956,1959
Alabama,Simultaneous Death,Death,1940,1949
Alabama,Statutory Rule Against Perpetuities,Uncategorized,1986,2011
Alabama,TOD Security Registration,Uncategorized,1989,1997
Alabama,Testamentary Additions to Trusts,Uncategorized,1960,1975
Alabama,Trade Secrets,Uncategorized,1979,1988
Alabama,Transfers to Minors,Uncategorized,1983,1986
Alabama,Trust Code,Uncategorized,2000,2006
Alabama,UCC,Uncategorized,1951,1965
Alabama,UCC Article 1,Uncategorized,2002,2004
Alabama,UCC Article 2A,Uncategorized,1987,1993
Alabama,UCC Article 4A,Uncategorized,4001,4006
Alabama,UCC Article 5,Uncategorized,1995,1997
Alabama,UCC Article 7,Uncategorized,2003,2004
Alabama,UCC Article 8,Uncategorized,1994,1996
Alabama,UCC Article 9,Uncategorized,3971,3982
Alabama,UCC Articles 3 and 4,Uncategorized,1990,1995
Alabama,Unclaimed Property,Uncategorized,1995,2004
Alabama,Unincorporated Nonprofit Association,Uncategorized,1992,1995
Alabama,Unsworn Foreign Declarations,Uncategorized,2008,2011
Alaska,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2008
Alaska,Anatomical Gift,Anatomical Gift,3974,3978
Alaska,Arbitration,Uncategorized,2000,2004
Alaska,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1962
Alaska,Child Custody Jurisdiction and Enforcement,Children,1997,1998
Alaska,Common Interest Ownership,Uncategorized,1982,1985
Alaska,Conservation Easement,Real Estate,1981,1989
Alaska,Custodial Trust,Uncategorized,1987,1994
Alaska,Determination of Death,Death/Taxes,1980,1984
Alaska,Disclaimer of Property Interests,Uncategorized,3972,4006
Alaska,Disposition of Community Property Rights at Death,Death/Taxes,1971,1984
Alaska,Division of Income for Tax Purposes,Tax,1957,1959
Alaska,Electronic Transactions,Commercial Law,1999,2004
Alaska,Enforcement of Foreign Judgments,Civil Procedure,1964,1971
Alaska,Estate Tax Apportionment,Death/Taxes,1958,1972
Alaska,Federal Lien Registration,Civil Procedure,1978,1989
Alaska,Health Care Decisions,Guardians,1993,2004
Alaska,International Wills,Death,1977,1996
Alaska,Interstate Family Support,Uncategorized,1996,1997
Alaska,Interstate Family Support Act,Uncategorized,1992,1995
Alaska,Limited Partnership,Commercial Law,1976,1992
Alaska,Money Services,Uncategorized,2000,2007
Alaska,Multiple Person Accounts,Uncategorized,1989,1996
Alaska,Partnership,Commercial Law,1994,2000
Alaska,Principal and Income,Uncategorized,1997,2003
Alaska,Probate Code,Death,1969,1972
Alaska,Prudent Investor,Uncategorized,1994,1998
Alaska,Prudent Management of Institutional Funds,Uncategorized,2006,2006
Alaska,Residential Landlord and Tenant,Real Estate,1972,1974
Alaska,Securities,Commercial Law,1956,1959
Alaska,Simultaneous Death,Death,3931,3946
Alaska,Statutory Rule Against Perpetuities,Uncategorized,1986,1994
Alaska,TOD Security Registration,Uncategorized,1989,1996
Alaska,Testamentary Additions to Trusts,Uncategorized,3951,3968
Alaska,Trade Secrets,Uncategorized,1979,1988
Alaska,Transfers to Minors,Uncategorized,1983,1990
Alaska,UCC,Uncategorized,1951,1962
Alaska,UCC Article 1,Uncategorized,2001,2009
Alaska,UCC Article 2A,Uncategorized,1987,1993
Alaska,UCC Article 4A,Uncategorized,4001,4006
Alaska,UCC Article 5,Uncategorized,1995,1999
Alaska,UCC Article 7,Uncategorized,2003,2009
Alaska,UCC Article 8,Uncategorized,3971,3986
Alaska,UCC Article 9,Uncategorized,5981,5995
Alaska,UCC Articles 3 and 4,Uncategorized,1990,1993
Alaska,Unclaimed Property,Uncategorized,1981,1986
Arizona,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2010
Arizona,Anatomical Gift,Anatomical Gift,5961,5973
Arizona,Arbitration,Uncategorized,2000,2010
Arizona,Athlete Agents,Uncategorized,2000,2001
Arizona,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1937
Arizona,Child Custody Jurisdiction and Enforcement,Children,1997,2000
Arizona,Condominium,Real Estate,1977,1985
Arizona,Conservation Easement,Real Estate,1981,1985
Arizona,Controlled Substances,Uncategorized,1970,1979
Arizona,Custodial Trust,Uncategorized,1987,2002
Arizona,Declaratory Judgments,Civil Procedure,1922,1927
Arizona,Disclaimer of Property Interests,Uncategorized,3972,3999
Arizona,Electronic Transactions,Commercial Law,1999,2000
Arizona,Enforcement of Foreign Judgments,Civil Procedure,1964,1971
Arizona,Federal Lien Registration,Civil Procedure,1978,1990
Arizona,Federal Tax Lien Registration,Civil Procedure,1966,1972
Arizona,Fraudulent Transfer,Uncategorized,1984,1990
Arizona,Interstate Depositions and Discovery,Civil Procedure,2007,2012
Arizona,Interstate Family Support,Uncategorized,3993,3997
Arizona,Limited Partnership,Commercial Law,3961,3978
Arizona,Multiple Person Accounts,Uncategorized,1989,1994
Arizona,Partnership,Commercial Law,1994,1996
Arizona,Principal and Income,Uncategorized,4005,4010
Arizona,Probate Code,Death,1969,1973
Arizona,Prudent Investor,Uncategorized,1994,1996
Arizona,Prudent Management of Institutional Funds,Uncategorized,2006,2008
Arizona,Real Property Electronic Recording,Real Estate,2004,2005
Arizona,Residential Landlord and Tenant,Real Estate,1972,1973
Arizona,Simultaneous Death,Death,1991,1994
Arizona,Statutory Rule Against Perpetuities,Uncategorized,1986,1994
Arizona,TOD Security Registration,Uncategorized,1989,1994
Arizona,Testamentary Additions to Trusts,Uncategorized,3951,3955
Arizona,Trade Secrets,Uncategorized,1979,1990
